Tweet ID,Tweet_count,Username,Text,Created At,Retweets,Likes,User Bio,Follower Count,Following Count,Replies,Location,Age,Gender,Hashtags
1393352241445224448,1,Tomthunkit™,Tr**p’s secretary of defense’s smoking-gun memo that orders the DC National Guard to stand down. #CapitolRiots https://t.co/VlmZAdr7zY 08,Fri May 14 23:47:16 +0000 2021,1,4,Tomthunkit's Mind Diner is open 24/7. All-you-can-eat smorgasbord of hand-picked deliciously sweet tweets for your political palate. Invest ($) in your future,79801,58102,0,In Your Mind Now,Unknown,Unknown,['CapitolRiots']
1393349889145425924,2,Brian Kipling,"No evidence of fraud. Translation, no evidence of voter fraud is allowed to be brought to light. #StopTheSteal https://t.co/ZDAug8QbOF",Fri May 14 23:37:55 +0000 2021,0,0,,34,49,0,Unknown,Unknown,Unknown,['StopTheSteal']
1393342118131814401,3,Blinnobo,"@ggreenwald @FreedomofPress @DanielEllsberg @trevortimm @Snowden Glenn, I defend a lot of your work, but this is idiotic. Your own violence tracker has at the outer reaches two or three incidents even possibly involving some Antifa activists. If you search for the term, the majority of hits are #stopthesteal goons.",Fri May 14 23:07:02 +0000 2021,0,0,still stuck in texas. send help. and hot sauce.,89,346,0,Unknown,Unknown,Unknown,['stopthesteal']
1393337118701801473,4,Gladys Castle 🍀,@GovTimWalz will be alone when he is incarcerated in #Gitmo. #ElectionFraud is real in MN. Don’t let the face disperless fool fool you. #ArrestWalz,Fri May 14 22:47:10 +0000 2021,1,1,I ❤️ God and America | Jesus is my Savior | Psalm 34,7503,4318,0,Unknown,Unknown,Unknown,"['Gitmo', 'ElectionFraud', 'ArrestWalz']"
1393336924899876867,5,Brutally Honest 🤔,"@RepStefanik @HouseGOP @GettyImages ‘I Wanted #Trump to Win’: Husband Charged in Wife’s Murder Also Used Her Name to Vote #Republican 😕 “I just thought, give him… another vote. I figured all these other guys are cheating.” 😒 Real #stopthesteal https://t.co/letVO0LYD4",Fri May 14 22:46:24 +0000 2021,0,0,Tired of stupid people and liars. 🤥,277,217,0,A place called “reality.” 🙄,Unknown,Unknown,"['Trump', 'Republican', 'stopthesteal']"
1393336852116082689,6,Brutally Honest 🤔,"@RepStefanik @GOPLeader @SteveScalise ‘I Wanted #Trump to Win’: Husband Charged in Wife’s Murder Also Used Her Name to Vote #Republican 😕 “I just thought, give him… another vote. I figured all these other guys are cheating.” 😒 Real #stopthesteal https://t.co/letVO0LYD4",Fri May 14 22:46:07 +0000 2021,0,0,Tired of stupid people and liars. 🤥,277,217,0,A place called “reality.” 🙄,Unknown,Unknown,"['Trump', 'Republican', 'stopthesteal']"
1393336701628583938,7,Brutally Honest 🤔,"‘I Wanted #Trump to Win’: Husband Charged in Wife’s Murder Also Used Her Name to Vote #Republican 😕 “I just thought, give him… another vote. I figured all these other guys are cheating.” 😒 Real #stopthesteal https://t.co/letVO0LYD4",Fri May 14 22:45:31 +0000 2021,0,0,Tired of stupid people and liars. 🤥,277,217,0,A place called “reality.” 🙄,Unknown,Unknown,"['Trump', 'Republican', 'stopthesteal']"
1393336440377970688,8,Gladys Castle 🍀,#ArrestWalz coming soon. Just as soon as #ElectionFraud breaks wide open. @GovTimWalz,Fri May 14 22:44:28 +0000 2021,0,0,I ❤️ God and America | Jesus is my Savior | Psalm 34,7503,4318,0,Unknown,Unknown,Unknown,"['ArrestWalz', 'ElectionFraud']"
1393331284689178625,9,ProfessingProfessor 🇺🇸🇮🇱🇺🇦,"#stopthesteal

More voter fraud by Republicans.

Notice how it is all Republicans who commit voter fraud.

They accuse Dems of what they do. 

Deplorable.

#MAGA",Fri May 14 22:23:59 +0000 2021,1,3,"Vote for Democrats to save the USA. A vote for a Republican is a vote to destroy the USA. #MAGA is a cult of imbeciles. 
#HarrisWalz #WeWontGoBack",5747,3572,0,Grosse Pointe Antifa Meeting,Unknown,Unknown,"['stopthesteal', 'MAGA']"
1393327259784663042,10,Flower Child 🥥🌴🦅🇺🇸🌸🌼💐,"@shereades @mmpadellan @MeVossie @Harvard It was just another regular tourist invasion .... I mean VISIT... 

Orderly, peaceful... 🙄🙄🙄

#Insurrection 
#CapitolRiots",Fri May 14 22:08:00 +0000 2021,1,2,"We TOLD YOU to #VoteBlue, now we’re living in a dystopian hellscape, On 🦋",9314,6382,1,"California, USA",Unknown,Unknown,"['Insurrection', 'CapitolRiots']"
