Cycle,SourcePeer,MessageID,Date,Message,Views,ForwardsCount,Reactions,IsForward,FwdFromPeer,ReplyToMsgID,PostLink
US-2020,cnnbrk,246079,2020-11-13 11:37:34+00:00,"Van Jones: Trump is strapping the country onto his own kamikaze plane  CNN's Van Jones hit out at President Donald Trump for his refusal to concede the 2020 presidential election by comparing his move to the ""kamikaze"" mission during World War II.  ➖ @cnnbrk ➖",8040.0,1.0,,False,,246077.0,https://t.me/cnnbrk/246079
US-2020,cnnbrk,246076,2020-11-13 11:37:30+00:00,"Obama: Trump's fraud claims delegitimizing democracy  CNN's Wolf Blitzer speaks with Cindy McCain, widow of late Sen. John McCain, about President Donald Trump's refusal to concede to President-elect Joe Biden.  ➖ @cnnbrk ➖",6543.0,4.0,,False,,246074.0,https://t.me/cnnbrk/246076
US-2020,cnnbrk,246062,2020-11-13 07:34:15+00:00,"Fact check: Evidence undermines Trump campaign's claims of dead people voting in Georgia  With CNN and other media outlets including Fox News having called the election for former Vice President Joe Biden, President Donald Trump and his allies continue to argue the results were somehow fraudulent.  ➖ @cnnbrk ➖",3499.0,1.0,,False,,246058.0,https://t.me/cnnbrk/246062
US-2020,cnnbrk,246060,2020-11-13 07:34:14+00:00,"Mary Trump weighs in on Trump's possible 2024 presidential run  President Trump's niece, Mary Trump, explains to CNN's Chris Cuomo why she does not believe her uncle will make another run at the presidency in 2024.  ➖ @cnnbrk ➖",3043.0,1.0,,False,,246056.0,https://t.me/cnnbrk/246060
US-2020,cnnbrk,246059,2020-11-13 07:34:14+00:00,Opinion: McCain's revenge? Biden's Arizona win is more than that  It's tempting to say that President Donald Trump's loss of Arizona is the revenge of the late US Sen. John McCain.  ➖ @cnnbrk ➖,2873.0,0.0,,False,,246055.0,https://t.me/cnnbrk/246059
US-2020,cnnbrk,246052,2020-11-13 07:33:45+00:00,President Trump's Republican wall of support is cracking    ➖ @cnnbrk ➖,2368.0,0.0,,False,,,https://t.me/cnnbrk/246052
US-2020,cnnbrk,246050,2020-11-13 07:33:43+00:00,The projected win for the President-elect widens his lead over Trump. It is only the second time in over 70 years that a Democrat has carried Arizona.  .• Fact check: Evidence undermines claims of dead people voting in Georgia • GOP urges White House to take steps towards transition  ➖ @cnnbrk ➖,2286.0,0.0,,False,,246049.0,https://t.me/cnnbrk/246050
US-2020,cnnbrk,246046,2020-11-13 07:33:34+00:00,Bolton calls on GOP leaders to speak up against Trump  Former national security adviser John Bolton urges Republican leaders to speak out against President Trump's refusal to concede the election to President-elect Joe Biden as a way to contain any damage to the US and the GOP.  ➖ @cnnbrk ➖,1963.0,0.0,,False,,246045.0,https://t.me/cnnbrk/246046
US-2020,cnnbrk,246042,2020-11-13 07:33:24+00:00,Anderson Cooper shocked by White House press secretary's Fox News answer  CNN's Anderson Cooper discusses the lack of action from President Donald Trump and his White House administration days after the election results.  ➖ @cnnbrk ➖,1752.0,0.0,,False,,246040.0,https://t.me/cnnbrk/246042
US-2020,cnnbrk,246041,2020-11-13 07:33:22+00:00,"'Most secure ever:' Trump officials contradict his election claims  The Department of Homeland Security issued a statement saying the November 3rd, 2020, election was the most secure election in history. President Donald Trump continues to deny the results.  ➖ @cnnbrk ➖",1710.0,1.0,,False,,246039.0,https://t.me/cnnbrk/246041
