Tweet ID,Tweet_count,Username,Text,Created At,Retweets,Likes,User Bio,Follower Count,Following Count,Replies,Location,Age,Gender,Hashtags
1972813561534844929,1,Hispanic Citizen 🥑,"#GunViolence

11,084 gun deaths in 2025 so far. 

And they are not enough four our leaders in government and Congress to do ANYTHING about it!  Anything! 

@WhiteHouse 
@SenateGOP @HouseGOP 
@SenateDems @HouseDemocrats",Mon Sep 29 23:59:40 +0000 2025,1,1,"If you follow me, turn Notifications ON. Also on Tribel : @US_Latino and BlueSky: @uslatino.bsky.social",2807,4122,0,United States,Unknown,Unknown,['GunViolence']
1972813257565257984,2,New Scott,"Charlie Kirk's alleged shooter did what?
#charliekirk #tylerrobinson https://t.co/sGi6LxPzN0",Mon Sep 29 23:58:28 +0000 2025,0,1,Also @thenewscottshow on TT & IG,3900,269,0,"Halifax, Nova Scotia",Unknown,Unknown,"['charliekirk', 'tylerrobinson']"
1972812973342371900,3,Adaptive,"Noticing “No Charlie Kirk autopsy” is spreading like wildfire. I feel it's in everyone's interest to repost &amp; like 

Furthermore, it's still an “ongoing investigation” which means autopsy information won't be public

#CharlieKirk #autopsy #Grok #info #stopthelies #Truth https://t.co/5qCKaJ0JQy",Mon Sep 29 23:57:20 +0000 2025,0,0,"Never initiating an argument—bringing truth with facts & real sources (still human, I'll apologize if data is falsely verified)",19,7,0,Unknown,Unknown,Unknown,"['CharlieKirk', 'autopsy', 'Grok', 'info', 'stopthelies', 'Truth']"
1972812938626093113,4,Cannabis-Creativity,"@mattgaetz 7. Christians misuse Christ - make it all about group identity instead of his Word.

8. #MAGA Christians turn Trump &amp; #CharlieKirk into idols, displeasing God.",Mon Sep 29 23:57:12 +0000 2025,0,0,"Elon limited my visibility on X but I continue to post regularly even if for a small audience.
https://t.co/gQFJJXnOge",6726,6696,0,Unknown,Unknown,Unknown,"['MAGA', 'CharlieKirk']"
1972812315176382749,5,Tiffinal,Prince always and forever #charliekirk #MAGA #prince,Mon Sep 29 23:54:43 +0000 2025,0,0,"Data Analysis and Database Development ""USA""",419,227,0,America,Unknown,Unknown,"['charliekirk', 'MAGA', 'prince']"
1972812215423021351,6,Greg Holt,"#news #CharlieKirk #IlhanOmar #liberals #Democrats #BrainDead #hate
Omar: ""I have nothing to apologize for...It was a legacy filled with bigotry, hatred, and white supremacy...Nancy Mace, the president, like whatever, these crazy people can do whatever they want to do, but I am not going to be bullied into complacency.""

Seriously??? Charlie Kirk routinely engaged with people who disagreed with him, who hated him even. He didn't demoralize them or be mean and nasty to them, he shared his thoughts and the Bible with them. He reasoned with them.

Omar is the one who has zero tolerance for those who do not bow at the altar of liberalism and Islam.

As far as Islam goes, look at their core teachings, kill those who leave Islam, kill those who don't believe. Who wants to be a part of that???",Mon Sep 29 23:54:19 +0000 2025,1,2,"Follower of Jesus, political analyst and author #Jesus #faith
Founder #VersesEveryDay #SundayVersesAllDay
https://t.co/WSiqEuLm9K",4799,4603,0,Now,Unknown,Unknown,"['news', 'CharlieKirk', 'IlhanOmar', 'liberals', 'Democrats', 'BrainDead', 'hate']"
1972812127204462690,7,CurrentMGMT,"""Charlie accomplished more in his 31 years than most people could accomplish in many lifetimes""

#CharlieKirk #TPUSA #news https://t.co/KO1qK7LJf5",Mon Sep 29 23:53:58 +0000 2025,0,0,LATEST News By Up To 24 HRS | Joshua 1:9 - Be strong and courageous. Do not be afraid,9,8,0,Unknown,Unknown,Unknown,"['CharlieKirk', 'TPUSA', 'news']"
1972811445684556042,8,Frank Turek,"What’s next for the church? Join me along with Graham Allen &amp; Pastor Troy Maxwell for the final Freedom Night of 2025 (TMRW 7PM ET). Register: https://t.co/xwd14rWNfX
#FreedomHouseTPUSAFaith #CharlieKirk https://t.co/kAA23I1Fs0",Mon Sep 29 23:51:16 +0000 2025,26,127,"#Apologetics Speaker, author: I Don't Have Enough Faith to be an Atheist; Stealing from God, Hollywood Heroes, Correct Not Politically Correct, Legis. Morality",209305,4610,7,"Charlotte, North Carolina",Unknown,Unknown,"['FreedomHouseTPUSAFaith', 'CharlieKirk']"
1972811283645989046,9,MinisterOfAntiMalice,"Real patriots 
protect America's children 
and other vulnerable citizens

They do not tolerate 
and accept   their death. 

#CharlieKirk was an opportunist, not a hero.

#maga @WhiteHouse https://t.co/r8k20snGRU",Mon Sep 29 23:50:37 +0000 2025,0,1,"Years of fighting online racism, hate and xenophobia.

Some things never change.",214,444,0,Unknown,Unknown,Unknown,"['CharlieKirk', 'maga']"
1972811162158084280,10,timothee valerio,No matter how much a conservative woman  tries to hide it ..they always want power..look at Erika Kirk #charliekirk https://t.co/gS1O6aXsXR,Mon Sep 29 23:50:08 +0000 2025,0,1,,15,43,0,Unknown,Unknown,Unknown,['charliekirk']
1972811110521971069,11,Bell G Heiss 🇺🇲🇺🇸,"@FoxNews 🚨🚨#BREAKING 
Now you can see those who ordered the murder of #CharlieKirk in a picture!

Note:
Remember, throughout #history, power-hungry old men have sacrificed many young men to stay in #power!",Mon Sep 29 23:49:56 +0000 2025,0,1,"A critic of SaudiArabia as survivor of 9/11,opposed to religious radicalism&terrorism/Sound of Yemeni Children&Gaza Children killed by SaudiArabia &USA & Israel",27,66,0,"Manhattan, NY",Unknown,Unknown,"['BREAKING', 'CharlieKirk', 'history', 'power']"
1972811063495389360,12,Bell G Heiss 🇺🇲🇺🇸,"🚨🚨#BREAKING 
Now you can see those who ordered the murder of #CharlieKirk in a picture!

Note:
Remember, throughout #history, power-hungry old men have sacrificed many young men to stay in #power!",Mon Sep 29 23:49:45 +0000 2025,0,0,"A critic of SaudiArabia as survivor of 9/11,opposed to religious radicalism&terrorism/Sound of Yemeni Children&Gaza Children killed by SaudiArabia &USA & Israel",27,66,0,"Manhattan, NY",Unknown,Unknown,"['BREAKING', 'CharlieKirk', 'history', 'power']"
1972811012492632297,13,Kristy Tallman,"🚨 FIRST COURT APPEARANCE: KIRK ASSASSINATION SUSPECT FACES JUDGE 🚨

Tyler Robinson — accused of plotting to kill Turning Point USA’s Charlie Kirk — appeared virtually before the judge today.
👉 Next hearing set for October — he’s expected to show up in person.

#CharlieKirk #CourtUpdate #BreakingNews",Mon Sep 29 23:49:33 +0000 2025,0,3,"Journalist, Photographer & Author of Psychological/Political Thrillers, combined with Poetry & Song.",17118,6476,0,"Lebanon, Oregon ",Unknown,Unknown,"['CharlieKirk', 'CourtUpdate', 'BreakingNews']"
1972810369854058757,14,Baumwolle ❤️‍🔥,#CharlieKirk breadcrumbs,Mon Sep 29 23:46:59 +0000 2025,0,0,Comfy as cotton,495,2368,0,United Kingdom,Unknown,Unknown,['CharlieKirk']
1972810069005029615,15,FaithRates 📖 #ReleasetheHostages,Congrats to the Oregon Ducks! Thought of #CharlieKirk's young  daughter wearing her Ducks team shirt...  💚 💛,Mon Sep 29 23:45:48 +0000 2025,0,0,"MAGA Patriot back from 2021  Twitter exile; lost 10K followers. 🫣
 I ❤️ Jesus, the Bible & the USA, where I was blessed to be born!🇺🇸",56,137,0,In Christ & standing w/Israel,Unknown,Unknown,['CharlieKirk']
1972809858874589457,16,Jupiter (Jove) 🔭,"@nickshirleyy NS, thanks for what you’re doing, it’s amazing service. However, you need to maybe consider your actual lifetime, STAY SAFE! @charliekirk11 #charliekirk #Trump",Mon Sep 29 23:44:58 +0000 2025,1,4,"“We have an unknown distance yet to run, an unknown river to explore.” - John Wesley Powell",59,137,0,Minnesota,Unknown,Unknown,"['charliekirk', 'Trump']"
1972809847851864538,17,tha_propanegang,@SaycheeseDGTL He was a saint just like #charliekirk  R.I.P good Sr you were a pillar in your community  🫡,Mon Sep 29 23:44:55 +0000 2025,0,3,Bay Area Rap Group. Find us on Facebook @ The Propane Gang.Download our latest albums on itunes search The Propane Gang.,353,1165,5,oakland,Unknown,Unknown,['charliekirk']
1972809699105157497,18,April,"The World Should See This... https://t.co/rHY3bLBkP5 via @YouTube
 #CharlieKirk",Mon Sep 29 23:44:19 +0000 2025,0,0,,81,107,0,Unknown,Unknown,Unknown,['CharlieKirk']
1972809646755733566,19,roy zitzman,[Video] #hakeemjeffries  #charliekirk  #SuraMandome  #rememberanceday  #fyp   https://t.co/oZLu7dkPTv,Mon Sep 29 23:44:07 +0000 2025,0,0,,178,23,0,Unknown,Unknown,Unknown,"['hakeemjeffries', 'charliekirk', 'SuraMandome', 'rememberanceday', 'fyp']"
1972807950449172935,20,Victor Martinez,@FFT1776 🇺🇲God bless #CharlieKirk,Mon Sep 29 23:37:23 +0000 2025,1,1,Engineer,248,415,0,Sevilla,Unknown,Unknown,['CharlieKirk']
1972807627949342855,21,Divine Counsel,Spread the wordddddddddddd!! #charliekirk,Mon Sep 29 23:36:06 +0000 2025,0,0,,55,28,0,Unknown,Unknown,Unknown,['charliekirk']
1972807240680628579,22,The Meck,"Paul Finebaum shockingly considering leaving #ESPN to run for #Senate after #CharlieKirk assassination: ‘It was an awakening’ - @NYPost - By Jenna Lemoncelli - Excerpt: @Finebaum added that he struggled to get through his show after the news of Kirk’s death. “I spent four hours numb, talking about things that didn’t matter to me. And it kept building throughout that weekend,” Finebaum said. “I felt very empty doing what I was doing that day.” 
https://t.co/wgAHB7iICY
@charliekirk11 @TPUSA @MrsErikaKirk  @AndrewKolvet  @KirkHerbstreit @LauraRutledge @ReceDavis @PatMcAfeeShow @realDonaldTrump @POTUS @PressSec @MargoMartin47 @FoxNews @FoxBusiness @seanhannity @JesseBWatters @IngrahamAngle @kevincorke @tracegallagher @BreitbartNews @townhallcom @realDailyWire @JDVance @WhiteHouse",Mon Sep 29 23:34:33 +0000 2025,1,0,,2515,1275,0,Unknown,Unknown,Unknown,"['ESPN', 'Senate', 'CharlieKirk']"
1972807230044221531,23,The Accidental Retiree,"Before the end of the year, but likely within the next 30 days we will see at least one if not multiple terror attacks in the US. why? 1) need to shut the case on #charliekirk 2) give a reason to continue the Gaza genocide plus additional new “targets” 3) reason to crash market",Mon Sep 29 23:34:31 +0000 2025,0,0,"Retired early… but not slowing down. Investing, real estate, and making Mexico home. Sharing strategies to grow wealth & live free. 🚀 #TheAccidentalRetiree",16,31,0,"Nayarit, México",Unknown,Unknown,['charliekirk']
1972807115594178658,24,Mark Hoy,"The latest mix has been posted on my artist page at ReverbNation. Feel free to download it and pass it around. I just ask you give credit where credit is due. Thank you and God Bless You All! 
✌️❤️🎵🙏 

#CharlieKirk #IAmCharlie 
#MarkusBMarcus #Tribute 

https://t.co/mPeTC48KvZ",Mon Sep 29 23:34:03 +0000 2025,0,0,"3rd Gen Trucker by day, Songwriter/Guitarist/Bassist by nite livin in SW Ontario. Hoping 2 someday get one of these songs to hit. ;o) Peace Love & Prosperity",115,305,0,"London, Ontario Canada",Unknown,Unknown,"['CharlieKirk', 'IAmCharlie', 'MarkusBMarcus', 'Tribute']"
1972806344798540174,25,Front Porch Evenings,"Charlie Lives 🇺🇸

#CharlieKirk  #CharlieLives
#ErikaKirk

https://t.co/NYPOlC5jk6",Mon Sep 29 23:31:00 +0000 2025,0,0,"A girl in Texas🇺🇸
Live your life fully in Jesus❤
He Loves you more than you can
imagine
The plans God has for you are good
Jer.29:11
Pick it up for Charlie🎙",87,196,0,N. Texas,Unknown,Unknown,"['CharlieKirk', 'CharlieLives', 'ErikaKirk']"
1972806060458287316,26,Stephanie A. Boyd,"🚨 JUST IN: Alleged Charlie Kirk assassin Tyler Robinson’s next court appearance will be October 30 at 10am MT

The judge says he plans to make ‘all hearings public.’
 
#CharlieKirk #TylerRobinson

Live link : https://t.co/0xN06nwXfC https://t.co/mY21Wqgy1R",Mon Sep 29 23:29:52 +0000 2025,0,0,Learning. Growing. Building. | Passionate about skill development & social media marketing 📈,9,61,0,"351 Henry Ford Avenue
Tulsa, O",Unknown,Unknown,"['CharlieKirk', 'TylerRobinson']"
1972806004082679873,27,Mona Brown,Charlie Kirk's Turning Point USA Now Labeled 'Extreme Hate Speech' https://t.co/1v0SrqLIjv #charliekirk #Push #turningpointusa via @DailyNoahNews,Mon Sep 29 23:29:38 +0000 2025,0,0,,50,113,0,Unknown,Unknown,Unknown,"['charliekirk', 'Push', 'turningpointusa']"
1972805828605272126,28,robert 🇬🇧🇮🇱🇺🇦,@benjaminbutter On tonights show @gbnews you as a lefty showed your true colours by calling @jk_rowling a fascist because you disagree and have no argument other than verbal abuse. Again this is what got #charliekirk killed you are trying to incite violance  on @jk_rowling ???,Mon Sep 29 23:28:57 +0000 2025,0,0,"Your day of judgement is today when your dead there is nothing, accept that and abolish religion accept what you do today as your sins, do what is right today",28,40,0,UK,Unknown,Unknown,['charliekirk']
1972805686863303075,29,Elle,"Who is the suspect with mid length hair? 
 
#UVU #charliekirk #justiceforcharlie https://t.co/vI4MFtp8xS",Mon Sep 29 23:28:23 +0000 2025,0,0,,180,439,0,Unknown,Unknown,Unknown,"['UVU', 'charliekirk', 'justiceforcharlie']"
1972805641304490007,30,Utah News Tweets,"#Utah Gov Cox blames social media for division in US, says it's leading us down 'very dark path' https://t.co/iWVyHAP7cG",Mon Sep 29 23:28:12 +0000 2025,0,0,"Tweeting news about Utah as a public service.
Sponsor: Academy of Self-Reliance
which offers a low-cost, off-grid homestead
planning course.",10103,225,1,"Utah, USA",Unknown,Unknown,['Utah']
1972805619188134017,31,Utah News Tweets,Partnership aims to expand access to skiing and snowboarding for #Utah youth https://t.co/DG7bxQup76,Mon Sep 29 23:28:07 +0000 2025,0,0,"Tweeting news about Utah as a public service.
Sponsor: Academy of Self-Reliance
which offers a low-cost, off-grid homestead
planning course.",10103,225,0,"Utah, USA",Unknown,Unknown,['Utah']
1972805597293875325,32,Utah News Tweets,"Big 12 power rankings: Texas Tech on top, #Utah and BYU climb as a wild first month comes to a close https://t.co/nEnZ8RORIr",Mon Sep 29 23:28:02 +0000 2025,0,0,"Tweeting news about Utah as a public service.
Sponsor: Academy of Self-Reliance
which offers a low-cost, off-grid homestead
planning course.",10103,225,0,"Utah, USA",Unknown,Unknown,['Utah']
1972805489609118032,33,Utah Live Data,"One dead in Utah from ready-to-eat pasta meal, public health alert issued

https://t.co/ZS51SYQLl2

#UTLD
#UTAH
#JDATA https://t.co/gumAV0RSNM",Mon Sep 29 23:27:36 +0000 2025,0,0,"https://t.co/9eEM1CMJku
https://t.co/sw87nY5YPG
https://t.co/RMcBXxc1yP

#UTLD #JDATA",59,15,0,"Utah, USA",Unknown,Unknown,"['UTLD', 'UTAH', 'JDATA']"
1972805474530562414,34,Utah Live Data,"Man arrested for sexually and physically assaulting girlfriend's underage daughter

https://t.co/jeO0anSpzS

#UTLD
#UTAH
#JDATA https://t.co/Bsa78s8DmN",Mon Sep 29 23:27:32 +0000 2025,0,0,"https://t.co/9eEM1CMJku
https://t.co/sw87nY5YPG
https://t.co/RMcBXxc1yP

#UTLD #JDATA",59,15,0,"Utah, USA",Unknown,Unknown,"['UTLD', 'UTAH', 'JDATA']"
1972805282784043137,35,andiewy,"I see where your loyalties are, and they are not with @charliekirk11 

#CharlieKirk @RealCandaceO @TuckerCarlson  
@TPUSA now, different than how Charlie was running it.
Charlie was saying no to Israel, he is pro. Charlie was getting @DOGE for #TPUSA, not anymore.",Mon Sep 29 23:26:47 +0000 2025,0,0,Do you care?,45,53,0,World,Unknown,Unknown,"['CharlieKirk', 'TPUSA']"
1972805253004443842,36,Divine Counsel,Gravesite? #charliekirk https://t.co/mpLUqFqXbF,Mon Sep 29 23:26:39 +0000 2025,0,0,,55,28,0,Unknown,Unknown,Unknown,['charliekirk']
